title,authors,abstract,pdf_url,published,Title,Model,Rating,Reasoning
Accelerated Proton Resonance Frequency-based Magnetic Resonance Thermometry by Optimized Deep Learning Method,"['Sijie Xu', 'Shenyan Zong', 'Chang-Sheng Mei', 'Guofeng Shen', 'Yueran Zhao', 'He Wang']","Proton resonance frequency (PRF) based MR thermometry is essential for
focused ultrasound (FUS) thermal ablation therapies. This work aims to enhance
temporal resolution in dynamic MR temperature map reconstruction using an
improved deep learning method. The training-optimized methods and five
classical neural networks were applied on the 2-fold and 4-fold under-sampling
k-space data to reconstruct the temperature maps. The enhanced training modules
included offline/online data augmentations, knowledge distillation, and the
amplitude-phase decoupling loss function. The heating experiments were
performed by a FUS transducer on phantom and ex vivo tissues, respectively.
These data were manually under-sampled to imitate acceleration procedures and
trained in our method to get the reconstruction model. The additional dozen or
so testing datasets were separately obtained for evaluating the real-time
performance and temperature accuracy. Acceleration factors of 1.9 and 3.7 were
found for 2 times and 4 times k-space under-sampling strategies and the
ResUNet-based deep learning reconstruction performed exceptionally well. In
2-fold acceleration scenario, the RMSE of temperature map patches provided the
values of 0.888 degree centigrade and 1.145 degree centigrade on phantom and ex
vivo testing datasets. The DICE value of temperature areas enclosed by 43
degree centigrade isotherm was 0.809, and the Bland-Altman analysis showed a
bias of -0.253 degree centigrade with the apart of plus or minus 2.16 degree
centigrade. In 4 times under-sampling case, these evaluating values decreased
by approximately 10%. This study demonstrates that deep learning-based
reconstruction can significantly enhance the accuracy and efficiency of MR
thermometry for clinical FUS thermal therapies.",http://arxiv.org/pdf/2407.03308v1,2024-07-03,Accelerated Proton Resonance Frequency-based Magnetic Resonance Thermometry by Optimized Deep Learning Method,gpt-3.5-turbo,highly relevant,"This paper focuses on enhancing the temporal resolution in dynamic MR temperature map reconstruction using deep learning methods, which is a key aspect of prompt engineering."
LLM Internal States Reveal Hallucination Risk Faced With a Query,"['Ziwei Ji', 'Delong Chen', 'Etsuko Ishii', 'Samuel Cahyawijaya', 'Yejin Bang', 'Bryan Wilie', 'Pascale Fung']","The hallucination problem of Large Language Models (LLMs) significantly
limits their reliability and trustworthiness. Humans have a self-awareness
process that allows us to recognize what we don't know when faced with queries.
Inspired by this, our paper investigates whether LLMs can estimate their own
hallucination risk before response generation. We analyze the internal
mechanisms of LLMs broadly both in terms of training data sources and across 15
diverse Natural Language Generation (NLG) tasks, spanning over 700 datasets.
Our empirical analysis reveals two key insights: (1) LLM internal states
indicate whether they have seen the query in training data or not; and (2) LLM
internal states show they are likely to hallucinate or not regarding the query.
Our study explores particular neurons, activation layers, and tokens that play
a crucial role in the LLM perception of uncertainty and hallucination risk. By
a probing estimator, we leverage LLM self-assessment, achieving an average
hallucination estimation accuracy of 84.32\% at run time.",http://arxiv.org/pdf/2407.03282v1,2024-07-03,LLM Internal States Reveal Hallucination Risk Faced With a Query,gpt-3.5-turbo,highly relevant,"The paper explores how LLMs can estimate their own hallucination risk before response generation by analyzing their internal states, which is relevant to understanding prompt engineering."
Self-Evaluation as a Defense Against Adversarial Attacks on LLMs,"['Hannah Brown', 'Leon Lin', 'Kenji Kawaguchi', 'Michael Shieh']","When LLMs are deployed in sensitive, human-facing settings, it is crucial
that they do not output unsafe, biased, or privacy-violating outputs. For this
reason, models are both trained and instructed to refuse to answer unsafe
prompts such as ""Tell me how to build a bomb."" We find that, despite these
safeguards, it is possible to break model defenses simply by appending a space
to the end of a model's input. In a study of eight open-source models, we
demonstrate that this acts as a strong enough attack to cause the majority of
models to generate harmful outputs with very high success rates. We examine the
causes of this behavior, finding that the contexts in which single spaces occur
in tokenized training data encourage models to generate lists when prompted,
overriding training signals to refuse to answer unsafe requests. Our findings
underscore the fragile state of current model alignment and promote the
importance of developing more robust alignment methods. Code and data will be
made available at https://github.com/Linlt-leon/Adversarial-Alignments.",http://arxiv.org/pdf/2407.03234v1,2024-07-03,Self-Evaluation as a Defense Against Adversarial Attacks on LLMs,gpt-3.5-turbo,highly relevant,"The paper discusses adversarial attacks on language models by manipulating model inputs, which is directly related to understanding and improving prompt engineering techniques."
Single Character Perturbations Break LLM Alignment,"['Leon Lin', 'Hannah Brown', 'Kenji Kawaguchi', 'Michael Shieh']","When LLMs are deployed in sensitive, human-facing settings, it is crucial
that they do not output unsafe, biased, or privacy-violating outputs. For this
reason, models are both trained and instructed to refuse to answer unsafe
prompts such as ""Tell me how to build a bomb."" We find that, despite these
safeguards, it is possible to break model defenses simply by appending a space
to the end of a model's input. In a study of eight open-source models, we
demonstrate that this acts as a strong enough attack to cause the majority of
models to generate harmful outputs with very high success rates. We examine the
causes of this behavior, finding that the contexts in which single spaces occur
in tokenized training data encourage models to generate lists when prompted,
overriding training signals to refuse to answer unsafe requests. Our findings
underscore the fragile state of current model alignment and promote the
importance of developing more robust alignment methods. Code and data will be
available at https://github.com/hannah-aught/space_attack.",http://arxiv.org/pdf/2407.03232v1,2024-07-03,Single Character Perturbations Break LLM Alignment,gpt-3.5-turbo,highly relevant,"The paper discusses potential vulnerabilities in language models when given prompts, highlighting the importance of prompt engineering to ensure safe and unbiased model outputs."
TheoremLlama: Transforming General-Purpose LLMs into Lean4 Experts,"['Ruida Wang', 'Jipeng Zhang', 'Yizhen Jia', 'Rui Pan', 'Shizhe Diao', 'Renjie Pi', 'Tong Zhang']","Proving mathematical theorems using computer-verifiable formal languages like
Lean significantly impacts mathematical reasoning. One approach to formal
theorem proving involves generating complete proofs using Large Language Models
(LLMs) based on Natural Language (NL) proofs. Similar methods have shown
promising results in code generation. However, most modern LLMs exhibit
suboptimal performance due to the scarcity of aligned NL and Formal Language
(FL) theorem-proving data. This scarcity results in a paucity of methodologies
for training LLMs and techniques to fully utilize their capabilities in
composing formal proofs. To address the challenges, this paper proposes
**TheoremLlama**, an end-to-end framework to train a general-purpose LLM to
become a Lean4 expert. This framework encompasses NL-FL aligned dataset
generation methods, training approaches for the LLM formal theorem prover, and
techniques for LLM Lean4 proof writing. Using the dataset generation method, we
provide *Open Bootstrapped Theorems* (OBT), an NL-FL aligned and bootstrapped
dataset. A key innovation in this framework is the NL-FL bootstrapping method,
where NL proofs are integrated into Lean4 code for training datasets,
leveraging the NL reasoning ability of LLMs for formal reasoning. The
**TheoremLlama** framework achieves cumulative accuracies of 36.48% and 33.61%
on MiniF2F-Valid and Test datasets respectively, surpassing the GPT-4 baseline
of 22.95% and 25.41%. We have also open-sourced our model checkpoints and
generated dataset, and will soon make all the code publicly available.",http://arxiv.org/pdf/2407.03203v1,2024-07-03,TheoremLlama: Transforming General-Purpose LLMs into Lean4 Experts,gpt-3.5-turbo,highly relevant,"The paper focuses on developing a framework to train a large language model to become a Lean4 expert, involving dataset generation methods, training approaches, and leveraging natural language reasoning for formal proofs, which aligns with the concept of prompt engineering."
Planetarium: A Rigorous Benchmark for Translating Text to Structured Planning Languages,"['Max Zuo', 'Francisco Piedrahita Velez', 'Xiaochen Li', 'Michael L. Littman', 'Stephen H. Bach']","Many recent works have explored using language models for planning problems.
One line of research focuses on translating natural language descriptions of
planning tasks into structured planning languages, such as the planning domain
definition language (PDDL). While this approach is promising, accurately
measuring the quality of generated PDDL code continues to pose significant
challenges. First, generated PDDL code is typically evaluated using planning
validators that check whether the problem can be solved with a planner. This
method is insufficient because a language model might generate valid PDDL code
that does not align with the natural language description of the task. Second,
existing evaluation sets often have natural language descriptions of the
planning task that closely resemble the ground truth PDDL, reducing the
challenge of the task. To bridge this gap, we introduce \benchmarkName, a
benchmark designed to evaluate language models' ability to generate PDDL code
from natural language descriptions of planning tasks. We begin by creating a
PDDL equivalence algorithm that rigorously evaluates the correctness of PDDL
code generated by language models by flexibly comparing it against a ground
truth PDDL. Then, we present a dataset of $132,037$ text-to-PDDL pairs across
13 different tasks, with varying levels of difficulty. Finally, we evaluate
several API-access and open-weight language models that reveal this task's
complexity. For example, $87.6\%$ of the PDDL problem descriptions generated by
GPT-4o are syntactically parseable, $82.2\%$ are valid, solve-able problems,
but only $35.1\%$ are semantically correct, highlighting the need for a more
rigorous benchmark for this problem.",http://arxiv.org/pdf/2407.03321v1,2024-07-03,Planetarium: A Rigorous Benchmark for Translating Text to Structured Planning Languages,gpt-3.5-turbo,somewhat relevant,"The paper explores utilizing language models to generate structured planning language code from natural language descriptions, which falls under the broader umbrella of prompt engineering."
BACON: Supercharge Your VLM with Bag-of-Concept Graph to Mitigate Hallucinations,"['Zhantao Yang', 'Ruili Feng', 'Keyu Yan', 'Huangji Wang', 'Zhicai Wang', 'Shangwen Zhu', 'Han Zhang', 'Jie Xiao', 'Pingyu Wu', 'Kai Zhu', 'Jixuan Chen', 'Chen-Wei Xie', 'Chaojie Mao', 'Yue Yang', 'Hongyang Zhang', 'Yu Liu', 'Fan Cheng']","This paper presents Bag-of-Concept Graph (BACON) to gift models with limited
linguistic abilities to taste the privilege of Vision Language Models (VLMs)
and boost downstream tasks such as detection, visual question answering (VQA),
and image generation. Since the visual scenes in physical worlds are structured
with complex relations between objects, BACON breaks down annotations into
basic minimum elements and presents them in a graph structure. Element-wise
style enables easy understanding, and structural composition liberates
difficult locating. Careful prompt design births the BACON captions with the
help of public-available VLMs and segmentation methods. In this way, we gather
a dataset with 100K annotated images, which endow VLMs with remarkable
capabilities, such as accurately generating BACON, transforming prompts into
BACON format, envisioning scenarios in the style of BACONr, and dynamically
modifying elements within BACON through interactive dialogue and more. Wide
representative experiments, including detection, VQA, and image generation
tasks, tell BACON as a lifeline to achieve previous out-of-reach tasks or excel
in their current cutting-edge solutions.",http://arxiv.org/pdf/2407.03314v1,2024-07-03,BACON: Supercharge Your VLM with Bag-of-Concept Graph to Mitigate Hallucinations,gpt-3.5-turbo,somewhat relevant,"The paper discusses the careful prompt design used to generate BACON captions, which is relevant to prompt engineering."
A Review of the Applications of Deep Learning-Based Emergent Communication,"['Brendon Boldt', 'David Mortensen']","Emergent communication, or emergent language, is the field of research which
studies how human language-like communication systems emerge de novo in deep
multi-agent reinforcement learning environments. The possibilities of
replicating the emergence of a complex behavior like language have strong
intuitive appeal, yet it is necessary to complement this with clear notions of
how such research can be applicable to other fields of science, technology, and
engineering. This paper comprehensively reviews the applications of emergent
communication research across machine learning, natural language processing,
linguistics, and cognitive science. Each application is illustrated with a
description of its scope, an explication of emergent communication's unique
role in addressing it, a summary of the extant literature working towards the
application, and brief recommendations for near-term research directions.",http://arxiv.org/pdf/2407.03302v1,2024-07-03,A Review of the Applications of Deep Learning-Based Emergent Communication,gpt-3.5-turbo,somewhat relevant,"The paper focuses on emergent communication and its applications across various fields, including machine learning and natural language processing, which are closely related to prompt engineering."
Improving Retrieval-augmented Text-to-SQL with AST-based Ranking and Schema Pruning,"['Zhili Shen', 'Pavlos Vougiouklis', 'Chenxin Diao', 'Kaustubh Vyas', 'Yuanyi Ji', 'Jeff Z. Pan']","We focus on Text-to-SQL semantic parsing from the perspective of Large
Language Models. Motivated by challenges related to the size of commercial
database schemata and the deployability of business intelligence solutions, we
propose an approach that dynamically retrieves input database information and
uses abstract syntax trees to select few-shot examples for in-context learning.
  Furthermore, we investigate the extent to which an in-parallel semantic
parser can be leveraged for generating $\textit{approximated}$ versions of the
expected SQL queries, to support our retrieval. We take this approach to the
extreme--we adapt a model consisting of less than $500$M parameters, to act as
an extremely efficient approximator, enhancing it with the ability to process
schemata in a parallelised manner. We apply our approach to monolingual and
cross-lingual benchmarks for semantic parsing, showing improvements over
state-of-the-art baselines. Comprehensive experiments highlight the
contribution of modules involved in this retrieval-augmented generation
setting, revealing interesting directions for future work.",http://arxiv.org/pdf/2407.03227v1,2024-07-03,Improving Retrieval-augmented Text-to-SQL with AST-based Ranking and Schema Pruning,gpt-3.5-turbo,somewhat relevant,"The paper focuses on using abstract syntax trees to select few-shot examples for in-context learning and investigates leveraging a semantic parser for generating approximated versions of SQL queries, which aligns with the concept of prompt engineering."
Value-Penalized Auxiliary Control from Examples for Learning without Rewards or Demonstrations,"['Trevor Ablett', 'Bryan Chan', 'Jayce Haoran Wang', 'Jonathan Kelly']","Learning from examples of success is an appealing approach to reinforcement
learning that eliminates many of the disadvantages of using hand-crafted reward
functions or full expert-demonstration trajectories, both of which can be
difficult to acquire, biased, or suboptimal. However, learning from examples
alone dramatically increases the exploration challenge, especially for complex
tasks. This work introduces value-penalized auxiliary control from examples
(VPACE); we significantly improve exploration in example-based control by
adding scheduled auxiliary control and examples of auxiliary tasks.
Furthermore, we identify a value-calibration problem, where policy value
estimates can exceed their theoretical limits based on successful data. We
resolve this problem, which is exacerbated by learning auxiliary tasks, through
the addition of an above-success-level value penalty. Across three simulated
and one real robotic manipulation environment, and 21 different main tasks, we
show that our approach substantially improves learning efficiency. Videos,
code, and datasets are available at https://papers.starslab.ca/vpace.",http://arxiv.org/pdf/2407.03311v1,2024-07-03,Value-Penalized Auxiliary Control from Examples for Learning without Rewards or Demonstrations,gpt-3.5-turbo,somewhat irrelevant,"The paper does not mention anything related to prompt engineering or hard prefix prompting, focusing instead on reinforcement learning techniques without rewards or demonstrations."
