title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image
Real-Time Anomaly Detection and Reactive Planning with Large Language Models,"['Rohan Sinha', 'Amine Elhafsi', 'Christopher Agia', 'Matthew Foutter', 'Edward Schmerling', 'Marco Pavone']","Foundation models, e.g., large language models (LLMs), trained on
internet-scale data possess zero-shot generalization capabilities that make
them a promising technology towards detecting and mitigating
out-of-distribution failure modes of robotic systems. Fully realizing this
promise, however, poses two challenges: (i) mitigating the considerable
computational expense of these models such that they may be applied online, and
(ii) incorporating their judgement regarding potential anomalies into a safe
control framework. In this work, we present a two-stage reasoning framework:
First is a fast binary anomaly classifier that analyzes observations in an LLM
embedding space, which may then trigger a slower fallback selection stage that
utilizes the reasoning capabilities of generative LLMs. These stages correspond
to branch points in a model predictive control strategy that maintains the
joint feasibility of continuing along various fallback plans to account for the
slow reasoner's latency as soon as an anomaly is detected, thus ensuring
safety. We show that our fast anomaly classifier outperforms autoregressive
reasoning with state-of-the-art GPT models, even when instantiated with
relatively small language models. This enables our runtime monitor to improve
the trustworthiness of dynamic robotic systems, such as quadrotors or
autonomous vehicles, under resource and time constraints. Videos illustrating
our approach in both simulation and real-world experiments are available on
this project page: https://sites.google.com/view/aesop-llm.",http://arxiv.org/pdf/2407.08735v1,2024-07-11,2407.08735v1,Real-Time Anomaly Detection and Reactive Planning with Large Language Models,gpt-3.5-turbo,highly relevant,"The paper discusses utilizing large language models for anomaly detection and reactive planning, involving the analysis of observations in an LLM embedding space and triggering fallback selection stages based on reasoning capabilities of generative LLMs.",
GTA: A Benchmark for General Tool Agents,"['Jize Wang', 'Zerun Ma', 'Yining Li', 'Songyang Zhang', 'Cailian Chen', 'Kai Chen', 'Xinyi Le']","Significant focus has been placed on integrating large language models (LLMs)
with various tools in developing general-purpose agents. This poses a challenge
to LLMs' tool-use capabilities. However, there are evident gaps between
existing tool-use evaluations and real-world scenarios. Current evaluations
often use AI-generated queries, single-step tasks, dummy tools, and text-only
interactions, failing to reveal the agents' real-world problem-solving
abilities effectively. To address this, we propose GTA, a benchmark for General
Tool Agents, featuring three main aspects: (i) Real user queries: human-written
queries with simple real-world objectives but implicit tool-use, requiring the
LLM to reason the suitable tools and plan the solution steps. (ii) Real
deployed tools: an evaluation platform equipped with tools across perception,
operation, logic, and creativity categories to evaluate the agents' actual task
execution performance. (iii) Real multimodal inputs: authentic image files,
such as spatial scenes, web page screenshots, tables, code snippets, and
printed/handwritten materials, used as the query contexts to align with
real-world scenarios closely. We design 229 real-world tasks and executable
tool chains to evaluate mainstream LLMs. Our findings show that real-world user
queries are challenging for existing LLMs, with GPT-4 completing less than 50%
of the tasks and most LLMs achieving below 25%. This evaluation reveals the
bottlenecks in the tool-use capabilities of current LLMs in real-world
scenarios, which provides future direction for advancing general-purpose tool
agents. The code and dataset are available at
https://github.com/open-compass/GTA.",http://arxiv.org/pdf/2407.08713v1,2024-07-11,2407.08713v1,GTA: A Benchmark for General Tool Agents,gpt-3.5-turbo,highly relevant,"The paper focuses on evaluating the tool-use capabilities of large language models (LLMs) in real-world scenarios, which aligns with the concept of prompt engineering by examining how models can effectively interact with tools through human-written queries.",
eyeballvul: a future-proof benchmark for vulnerability detection in the wild,['Timothee Chauvin'],"Long contexts of recent LLMs have enabled a new use case: asking models to
find security vulnerabilities in entire codebases. To evaluate model
performance on this task, we introduce eyeballvul: a benchmark designed to test
the vulnerability detection capabilities of language models at scale, that is
sourced and updated weekly from the stream of published vulnerabilities in
open-source repositories. The benchmark consists of a list of revisions in
different repositories, each associated with the list of known vulnerabilities
present at that revision. An LLM-based scorer is used to compare the list of
possible vulnerabilities returned by a model to the list of known
vulnerabilities for each revision. As of July 2024, eyeballvul contains 24,000+
vulnerabilities across 6,000+ revisions and 5,000+ repositories, and is around
55GB in size.",http://arxiv.org/pdf/2407.08708v1,2024-07-11,2407.08708v1,eyeballvul: a future-proof benchmark for vulnerability detection in the wild,gpt-3.5-turbo,highly relevant,"The paper focuses on evaluating model performance in detecting security vulnerabilities using language models, which involves prompting the model with code snippets to find vulnerabilities, making it highly relevant to prompt engineering.",
Cloud Atlas: Efficient Fault Localization for Cloud Systems using Language Models and Causal Insight,"['Zhiqiang Xie', 'Yujia Zheng', 'Lizi Ottens', 'Kun Zhang', 'Christos Kozyrakis', 'Jonathan Mace']","Runtime failure and performance degradation is commonplace in modern cloud
systems. For cloud providers, automatically determining the root cause of
incidents is paramount to ensuring high reliability and availability as prompt
fault localization can enable faster diagnosis and triage for timely
resolution. A compelling solution explored in recent work is causal reasoning
using causal graphs to capture relationships between varied cloud system
performance metrics. To be effective, however, systems developers must
correctly define the causal graph of their system, which is a time-consuming,
brittle, and challenging task that increases in difficulty for large and
dynamic systems and requires domain expertise. Alternatively, automated
data-driven approaches have limited efficacy for cloud systems due to the
inherent rarity of incidents. In this work, we present Atlas, a novel approach
to automatically synthesizing causal graphs for cloud systems. Atlas leverages
large language models (LLMs) to generate causal graphs using system
documentation, telemetry, and deployment feedback. Atlas is complementary to
data-driven causal discovery techniques, and we further enhance Atlas with a
data-driven validation step. We evaluate Atlas across a range of fault
localization scenarios and demonstrate that Atlas is capable of generating
causal graphs in a scalable and generalizable manner, with performance that far
surpasses that of data-driven algorithms and is commensurate to the
ground-truth baseline.",http://arxiv.org/pdf/2407.08694v1,2024-07-11,2407.08694v1,Cloud Atlas: Efficient Fault Localization for Cloud Systems using Language Models and Causal Insight,gpt-3.5-turbo,highly relevant,"The paper focuses on using large language models to automatically generate causal graphs for fault localization in cloud systems, which involves the use of language models in a systematic manner related to prompt engineering.",
CAD-Prompted Generative Models: A Pathway to Feasible and Novel Engineering Designs,"['Leah Chong', 'Jude Rayan', 'Steven Dow', 'Ioanna Lykourentzou', 'Faez Ahmed']","Text-to-image generative models have increasingly been used to assist
designers during concept generation in various creative domains, such as
graphic design, user interface design, and fashion design. However, their
applications in engineering design remain limited due to the models' challenges
in generating images of feasible designs concepts. To address this issue, this
paper introduces a method that improves the design feasibility by prompting the
generation with feasible CAD images. In this work, the usefulness of this
method is investigated through a case study with a bike design task using an
off-the-shelf text-to-image model, Stable Diffusion 2.1. A diverse set of bike
designs are produced in seven different generation settings with varying CAD
image prompting weights, and these designs are evaluated on their perceived
feasibility and novelty. Results demonstrate that the CAD image prompting
successfully helps text-to-image models like Stable Diffusion 2.1 create
visibly more feasible design images. While a general tradeoff is observed
between feasibility and novelty, when the prompting weight is kept low around
0.35, the design feasibility is significantly improved while its novelty
remains on par with those generated by text prompts alone. The insights from
this case study offer some guidelines for selecting the appropriate CAD image
prompting weight for different stages of the engineering design process. When
utilized effectively, our CAD image prompting method opens doors to a wider
range of applications of text-to-image models in engineering design.",http://arxiv.org/pdf/2407.08675v1,2024-07-11,2407.08675v1,CAD-Prompted Generative Models: A Pathway to Feasible and Novel Engineering Designs,gpt-3.5-turbo,highly relevant,"The paper introduces a method that improves design feasibility by prompting the generation with feasible CAD images, showcasing the use of prompting techniques in engineering design.",
Uncertainty Estimation of Large Language Models in Medical Question Answering,"['Jiaxin Wu', 'Yizhou Yu', 'Hong-Yu Zhou']","Large Language Models (LLMs) show promise for natural language generation in
healthcare, but risk hallucinating factually incorrect information. Deploying
LLMs for medical question answering necessitates reliable uncertainty
estimation (UE) methods to detect hallucinations. In this work, we benchmark
popular UE methods with different model sizes on medical question-answering
datasets. Our results show that current approaches generally perform poorly in
this domain, highlighting the challenge of UE for medical applications. We also
observe that larger models tend to yield better results, suggesting a
correlation between model size and the reliability of UE. To address these
challenges, we propose Two-phase Verification, a probability-free Uncertainty
Estimation approach. First, an LLM generates a step-by-step explanation
alongside its initial answer, followed by formulating verification questions to
check the factual claims in the explanation. The model then answers these
questions twice: first independently, and then referencing the explanation.
Inconsistencies between the two sets of answers measure the uncertainty in the
original response. We evaluate our approach on three biomedical
question-answering datasets using Llama 2 Chat models and compare it against
the benchmarked baseline methods. The results show that our Two-phase
Verification method achieves the best overall accuracy and stability across
various datasets and model sizes, and its performance scales as the model size
increases.",http://arxiv.org/pdf/2407.08662v1,2024-07-11,2407.08662v1,Uncertainty Estimation of Large Language Models in Medical Question Answering,gpt-3.5-turbo,highly relevant,"The paper focuses on proposing a novel approach, Two-phase Verification, which involves generating step-by-step explanations alongside initial answers and formulating verification questions, aligning with the concept of prompt engineering.",
$β$-DPO: Direct Preference Optimization with Dynamic $β$,"['Junkang Wu', 'Yuexiang Xie', 'Zhengyi Yang', 'Jiancan Wu', 'Jinyang Gao', 'Bolin Ding', 'Xiang Wang', 'Xiangnan He']","Direct Preference Optimization (DPO) has emerged as a compelling approach for
training Large Language Models (LLMs) to adhere to human preferences. However,
the performance of DPO is sensitive to the fine-tuning of its trade-off
parameter $\beta$, as well as to the quality of the preference data. We analyze
the impact of $\beta$ and data quality on DPO, uncovering that optimal $\beta$
values vary with the informativeness of pairwise data. Addressing the
limitations of static $\beta$ values, we introduce a novel framework that
dynamically calibrates $\beta$ at the batch level, informed by data quality
considerations. Additionally, our method incorporates $\beta$-guided data
filtering to safeguard against the influence of outliers. Through empirical
evaluation, we demonstrate that our dynamic $\beta$ adjustment technique
significantly improves DPO's performance across a range of models and datasets,
offering a more robust and adaptable training paradigm for aligning LLMs with
human feedback. The code is available at
\url{https://github.com/junkangwu/beta-DPO}.",http://arxiv.org/pdf/2407.08639v1,2024-07-11,2407.08639v1,$β$-DPO: Direct Preference Optimization with Dynamic $β$,gpt-3.5-turbo,highly relevant,"The paper focuses on optimizing training for Large Language Models (LLMs) with a novel framework for dynamic calibration of a trade-off parameter, which is relevant to the topic of prompt engineering.",
On the Universal Truthfulness Hyperplane Inside LLMs,"['Junteng Liu', 'Shiqi Chen', 'Yu Cheng', 'Junxian He']","While large language models (LLMs) have demonstrated remarkable abilities
across various fields, hallucination remains a significant challenge. Recent
studies have explored hallucinations through the lens of internal
representations, proposing mechanisms to decipher LLMs' adherence to facts.
However, these approaches often fail to generalize to out-of-distribution data,
leading to concerns about whether internal representation patterns reflect
fundamental factual awareness, or only overfit spurious correlations on the
specific datasets. In this work, we investigate whether a universal
truthfulness hyperplane that distinguishes the model's factually correct and
incorrect outputs exists within the model. To this end, we scale up the number
of training datasets and conduct an extensive evaluation -- we train the
truthfulness hyperplane on a diverse collection of over 40 datasets and examine
its cross-task, cross-domain, and in-domain generalization. Our results
indicate that increasing the diversity of the training datasets significantly
enhances the performance in all scenarios, while the volume of data samples
plays a less critical role. This finding supports the optimistic hypothesis
that a universal truthfulness hyperplane may indeed exist within the model,
offering promising directions for future research.",http://arxiv.org/pdf/2407.08582v1,2024-07-11,2407.08582v1,On the Universal Truthfulness Hyperplane Inside LLMs,gpt-3.5-turbo,highly relevant,"The paper focuses on investigating internal representations of a large language model (LLM) to decipher adherence to facts, which is a fundamental aspect of prompt engineering.",
ElasticAST: An Audio Spectrogram Transformer for All Length and Resolutions,"['Jiu Feng', 'Mehmet Hamza Erol', 'Joon Son Chung', 'Arda Senocak']","Transformers have rapidly overtaken CNN-based architectures as the new
standard in audio classification. Transformer-based models, such as the Audio
Spectrogram Transformers (AST), also inherit the fixed-size input paradigm from
CNNs. However, this leads to performance degradation for ASTs in the inference
when input lengths vary from the training. This paper introduces an approach
that enables the use of variable-length audio inputs with AST models during
both training and inference. By employing sequence packing, our method
ElasticAST, accommodates any audio length during training, thereby offering
flexibility across all lengths and resolutions at the inference. This
flexibility allows ElasticAST to maintain evaluation capabilities at various
lengths or resolutions and achieve similar performance to standard ASTs trained
at specific lengths or resolutions. Moreover, experiments demonstrate
ElasticAST's better performance when trained and evaluated on native-length
audio datasets.",http://arxiv.org/pdf/2407.08691v1,2024-07-11,2407.08691v1,ElasticAST: An Audio Spectrogram Transformer for All Length and Resolutions,gpt-3.5-turbo,somewhat relevant,"The paper focuses on developing a method to enable the use of variable-length inputs in Transformer models, which is a key aspect of prompt engineering.",
Turn-Level Empathy Prediction Using Psychological Indicators,"['Shaz Furniturewala', 'Kokil Jaidka']","For the WASSA 2024 Empathy and Personality Prediction Shared Task, we propose
a novel turn-level empathy detection method that decomposes empathy into six
psychological indicators: Emotional Language, Perspective-Taking, Sympathy and
Compassion, Extroversion, Openness, and Agreeableness. A pipeline of text
enrichment using a Large Language Model (LLM) followed by DeBERTA fine-tuning
demonstrates a significant improvement in the Pearson Correlation Coefficient
and F1 scores for empathy detection, highlighting the effectiveness of our
approach. Our system officially ranked 7th at the CONV-turn track.",http://arxiv.org/pdf/2407.08607v1,2024-07-11,2407.08607v1,Turn-Level Empathy Prediction Using Psychological Indicators,gpt-3.5-turbo,somewhat relevant,"The paper focuses on a novel method for empathy detection using a Large Language Model (LLM) and DeBERTA fine-tuning, which demonstrates effectiveness in improving empathy detection scores, aligning with prompt engineering techniques.",
