title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image,image_description
Fine-Tuning and Prompt Optimization: Two Great Steps that Work Better Together,"['Dilara Soylu', 'Christopher Potts', 'Omar Khattab']","Natural Language Processing (NLP) systems are increasingly taking the form of
multi-stage pipelines involving multiple distinct language models (LMs) and
prompting strategies. Here we address the question of how to fine-tune such
systems to improve their performance. We cast this as a problem of optimizing
the underlying LM weights and the prompting strategies together, and consider a
challenging but highly realistic scenario in which we have no gold labels for
any intermediate stages in the pipeline. To address this challenge, we evaluate
approximate optimization strategies in which we bootstrap training labels for
all pipeline stages and use these to optimize the pipeline's prompts and
fine-tune its weights alternatingly. In experiments with multi-hop QA,
mathematical reasoning, and feature-based classification, we find that simple
approaches for optimizing the prompts and weights together outperform directly
optimizing weights alone and prompts alone by up to 65% and 5%, respectively,
on average across LMs and tasks. We will release our new optimizers in DSPy at
http://dspy.ai",http://arxiv.org/pdf/2407.10930v1,2024-07-15,2407.10930v1,Fine-Tuning and Prompt Optimization: Two Great Steps that Work Better Together,gpt-4,highly relevant,"The paper discusses the optimization of prompting strategies in multi-stage NLP pipelines, which aligns with the topic of prompt engineering.",,
VGBench: Evaluating Large Language Models on Vector Graphics Understanding and Generation,"['Bocheng Zou', 'Mu Cai', 'Jianrui Zhang', 'Yong Jae Lee']","In the realm of vision models, the primary mode of representation is using
pixels to rasterize the visual world. Yet this is not always the best or unique
way to represent visual content, especially for designers and artists who
depict the world using geometry primitives such as polygons. Vector graphics
(VG), on the other hand, offer a textual representation of visual content,
which can be more concise and powerful for content like cartoons or sketches.
Recent studies have shown promising results on processing vector graphics with
capable Large Language Models (LLMs). However, such works focus solely on
qualitative results, understanding, or a specific type of vector graphics. We
propose VGBench, a comprehensive benchmark for LLMs on handling vector graphics
through diverse aspects, including (a) both visual understanding and
generation, (b) evaluation of various vector graphics formats, (c) diverse
question types, (d) wide range of prompting techniques, (e) under multiple
LLMs. Evaluating on our collected 4279 understanding and 5845 generation
samples, we find that LLMs show strong capability on both aspects while
exhibiting less desirable performance on low-level formats (SVG). Both data and
evaluation pipeline will be open-sourced at https://vgbench.github.io.",http://arxiv.org/pdf/2407.10972v1,2024-07-15,2407.10972v1,VGBench: Evaluating Large Language Models on Vector Graphics Understanding and Generation,gpt-4,somewhat relevant,"The paper touches on the topic of prompt engineering when stating it considers a 'wide range of prompting techniques' in relation to the evaluation of Large Language Models handling vector graphics. However, it does not specifically address hard prefix prompting.",,
An Actionable Framework for Assessing Bias and Fairness in Large Language Model Use Cases,['Dylan Bouchard'],"Large language models (LLMs) can exhibit bias in a variety of ways. Such
biases can create or exacerbate unfair outcomes for certain groups within a
protected attribute, including, but not limited to sex, race, sexual
orientation, or age. This paper aims to provide a technical guide for
practitioners to assess bias and fairness risks in LLM use cases. The main
contribution of this work is a decision framework that allows practitioners to
determine which metrics to use for a specific LLM use case. To achieve this,
this study categorizes LLM bias and fairness risks, maps those risks to a
taxonomy of LLM use cases, and then formally defines various metrics to assess
each type of risk. As part of this work, several new bias and fairness metrics
are introduced, including innovative counterfactual metrics as well as metrics
based on stereotype classifiers. Instead of focusing solely on the model
itself, the sensitivity of both prompt-risk and model-risk are taken into
account by defining evaluations at the level of an LLM use case, characterized
by a model and a population of prompts. Furthermore, because all of the
evaluation metrics are calculated solely using the LLM output, the proposed
framework is highly practical and easily actionable for practitioners.",http://arxiv.org/pdf/2407.10853v1,2024-07-15,2407.10853v1,An Actionable Framework for Assessing Bias and Fairness in Large Language Model Use Cases,gpt-4,somewhat irrelevant,"The paper involves a study about bias and fairness in large language models and the risks that come with them, but does not specifically discuss or focus on hard prefix prompting or prompt engineering.",,
Qwen2-Audio Technical Report,"['Yunfei Chu', 'Jin Xu', 'Qian Yang', 'Haojie Wei', 'Xipin Wei', 'Zhifang Guo', 'Yichong Leng', 'Yuanjun Lv', 'Jinzheng He', 'Junyang Lin', 'Chang Zhou', 'Jingren Zhou']","We introduce the latest progress of Qwen-Audio, a large-scale audio-language
model called Qwen2-Audio, which is capable of accepting various audio signal
inputs and performing audio analysis or direct textual responses with regard to
speech instructions. In contrast to complex hierarchical tags, we have
simplified the pre-training process by utilizing natural language prompts for
different data and tasks, and have further expanded the data volume. We have
boosted the instruction-following capability of Qwen2-Audio and implemented two
distinct audio interaction modes for voice chat and audio analysis. In the
voice chat mode, users can freely engage in voice interactions with Qwen2-Audio
without text input. In the audio analysis mode, users could provide audio and
text instructions for analysis during the interaction. Note that we do not use
any system prompts to switch between voice chat and audio analysis modes.
Qwen2-Audio is capable of intelligently comprehending the content within audio
and following voice commands to respond appropriately. For instance, in an
audio segment that simultaneously contains sounds, multi-speaker conversations,
and a voice command, Qwen2-Audio can directly understand the command and
provide an interpretation and response to the audio. Additionally, DPO has
optimized the model's performance in terms of factuality and adherence to
desired behavior. According to the evaluation results from AIR-Bench,
Qwen2-Audio outperformed previous SOTAs, such as Gemini-1.5-pro, in tests
focused on audio-centric instruction-following capabilities. Qwen2-Audio is
open-sourced with the aim of fostering the advancement of the multi-modal
language community.",http://arxiv.org/pdf/2407.10759v1,2024-07-15,2407.10759v1,Qwen2-Audio Technical Report,gpt-4,somewhat irrelevant,"While the paper appears to involve the use of natural language prompts in some way, it does not clearly discuss the use of hard prefix prompts or delve into prompt engineering strategies. Moreover, the focus is more on the model's audio language capabilities rather than prompt engineering.",,
Codebook LLMs: Adapting Political Science Codebooks for LLM Use and Adapting LLMs to Follow Codebooks,"['Andrew Halterman', 'Katherine A. Keith']","Codebooks -- documents that operationalize constructs and outline annotation
procedures -- are used almost universally by social scientists when coding
unstructured political texts. Recently, to reduce manual annotation costs,
political scientists have looked to generative large language models (LLMs) to
label and analyze text data. However, previous work using LLMs for
classification has implicitly relied on the universal label assumption --
correct classification of documents is possible using only a class label or
minimal definition and the information that the LLM inductively learns during
its pre-training. In contrast, we argue that political scientists who care
about valid measurement should instead make a codebook-construct label
assumption -- an LLM should follow the definition and exclusion criteria of a
construct/label provided in a codebook. In this work, we collect and curate
three political science datasets and their original codebooks and conduct a set
of experiments to understand whether LLMs comply with codebook instructions,
whether rewriting codebooks improves performance, and whether
instruction-tuning LLMs on codebook-document-label tuples improves performance
over zero-shot classification. Using Mistral 7B Instruct as our LLM, we find
re-structuring the original codebooks gives modest gains in zero-shot
performance but the model still struggles to comply with the constraints of the
codebooks. Optimistically, instruction-tuning Mistral on one of our datasets
gives significant gains over zero-shot inference (0.76 versus 0.53 micro F1).
We hope our conceptualization of the codebook-specific task, assumptions, and
instruction-tuning pipeline as well our semi-structured LLM codebook format
will help political scientists readily adapt to the LLM era.",http://arxiv.org/pdf/2407.10747v1,2024-07-15,2407.10747v1,Codebook LLMs: Adapting Political Science Codebooks for LLM Use and Adapting LLMs to Follow Codebooks,gpt-4,somewhat irrelevant,"The paper focuses on the adaptation of codebooks for use with Large Language Models in the political science field. While it discusses instruction-tuning and does seem to use preprocessing strategies, it does not explicitly mention or focus on hard prefix prompting or prompt engineering.",,
When Synthetic Traces Hide Real Content: Analysis of Stable Diffusion Image Laundering,"['Sara Mandelli', 'Paolo Bestagini', 'Stefano Tubaro']","In recent years, methods for producing highly realistic synthetic images have
significantly advanced, allowing the creation of high-quality images from text
prompts that describe the desired content. Even more impressively, Stable
Diffusion (SD) models now provide users with the option of creating synthetic
images in an image-to-image translation fashion, modifying images in the latent
space of advanced autoencoders. This striking evolution, however, brings an
alarming consequence: it is possible to pass an image through SD autoencoders
to reproduce a synthetic copy of the image with high realism and almost no
visual artifacts. This process, known as SD image laundering, can transform
real images into lookalike synthetic ones and risks complicating forensic
analysis for content authenticity verification. Our paper investigates the
forensic implications of image laundering, revealing a serious potential to
obscure traces of real content, including sensitive and harmful materials that
could be mistakenly classified as synthetic, thereby undermining the protection
of individuals depicted. To address this issue, we propose a two-stage
detection pipeline that effectively differentiates between pristine, laundered,
and fully synthetic images (those generated from text prompts), showing
robustness across various conditions. Finally, we highlight another alarming
property of image laundering, which appears to mask the unique artifacts
exploited by forensic detectors to solve the camera model identification task,
strongly undermining their performance. Our experimental code is available at
https://github.com/polimi-ispl/synthetic-image-detection.",http://arxiv.org/pdf/2407.10736v1,2024-07-15,2407.10736v1,When Synthetic Traces Hide Real Content: Analysis of Stable Diffusion Image Laundering,gpt-4,somewhat irrelevant,"While this paper mentions the use of text prompts in generating synthetic images, its main focus is on forensic implications of image laundering rather than on developing or improving prompt engineering techniques.",,
Make-An-Agent: A Generalizable Policy Network Generator with Behavior-Prompted Diffusion,"['Yongyuan Liang', 'Tingqiang Xu', 'Kaizhe Hu', 'Guangqi Jiang', 'Furong Huang', 'Huazhe Xu']","Can we generate a control policy for an agent using just one demonstration of
desired behaviors as a prompt, as effortlessly as creating an image from a
textual description? In this paper, we present Make-An-Agent, a novel policy
parameter generator that leverages the power of conditional diffusion models
for behavior-to-policy generation. Guided by behavior embeddings that encode
trajectory information, our policy generator synthesizes latent parameter
representations, which can then be decoded into policy networks. Trained on
policy network checkpoints and their corresponding trajectories, our generation
model demonstrates remarkable versatility and scalability on multiple tasks and
has a strong generalization ability on unseen tasks to output well-performed
policies with only few-shot demonstrations as inputs. We showcase its efficacy
and efficiency on various domains and tasks, including varying objectives,
behaviors, and even across different robot manipulators. Beyond simulation, we
directly deploy policies generated by Make-An-Agent onto real-world robots on
locomotion tasks.",http://arxiv.org/pdf/2407.10973v1,2024-07-15,2407.10973v1,Make-An-Agent: A Generalizable Policy Network Generator with Behavior-Prompted Diffusion,gpt-4,highly irrelevant,"This paper is about control policy generation for agents and their deployment on real-world robots, not about hard prefix prompting or prompt engineering.",,
Q-Sparse: All Large Language Models can be Fully Sparsely-Activated,"['Hongyu Wang', 'Shuming Ma', 'Ruiping Wang', 'Furu Wei']","We introduce, Q-Sparse, a simple yet effective approach to training
sparsely-activated large language models (LLMs). Q-Sparse enables full sparsity
of activations in LLMs which can bring significant efficiency gains in
inference. This is achieved by applying top-K sparsification to the activations
and the straight-through-estimator to the training. The key results from this
work are, (1) Q-Sparse can achieve results comparable to those of baseline LLMs
while being much more efficient at inference time; (2) We present an
inference-optimal scaling law for sparsely-activated LLMs; (3) Q-Sparse is
effective in different settings, including training-from-scratch,
continue-training of off-the-shelf LLMs, and finetuning; (4) Q-Sparse works for
both full-precision and 1-bit LLMs (e.g., BitNet b1.58). Particularly, the
synergy of BitNet b1.58 and Q-Sparse (can be equipped with MoE) provides the
cornerstone and a clear path to revolutionize the efficiency, including cost
and energy consumption, of future LLMs.",http://arxiv.org/pdf/2407.10969v1,2024-07-15,2407.10969v1,Q-Sparse: All Large Language Models can be Fully Sparsely-Activated,gpt-4,highly irrelevant,"The paper is dedicated to methods of improving the efficiency of large language models in general, rather than prompt engineering or hard prefix prompting.",,
Ref-AVS: Refer and Segment Objects in Audio-Visual Scenes,"['Yaoting Wang', 'Peiwen Sun', 'Dongzhan Zhou', 'Guangyao Li', 'Honggang Zhang', 'Di Hu']","Traditional reference segmentation tasks have predominantly focused on silent
visual scenes, neglecting the integral role of multimodal perception and
interaction in human experiences. In this work, we introduce a novel task
called Reference Audio-Visual Segmentation (Ref-AVS), which seeks to segment
objects within the visual domain based on expressions containing multimodal
cues. Such expressions are articulated in natural language forms but are
enriched with multimodal cues, including audio and visual descriptions. To
facilitate this research, we construct the first Ref-AVS benchmark, which
provides pixel-level annotations for objects described in corresponding
multimodal-cue expressions. To tackle the Ref-AVS task, we propose a new method
that adequately utilizes multimodal cues to offer precise segmentation
guidance. Finally, we conduct quantitative and qualitative experiments on three
test subsets to compare our approach with existing methods from related tasks.
The results demonstrate the effectiveness of our method, highlighting its
capability to precisely segment objects using multimodal-cue expressions.
Dataset is available at
\href{https://gewu-lab.github.io/Ref-AVS}{https://gewu-lab.github.io/Ref-AVS}.",http://arxiv.org/pdf/2407.10957v1,2024-07-15,2407.10957v1,Ref-AVS: Refer and Segment Objects in Audio-Visual Scenes,gpt-4,highly irrelevant,The paper describes a process for segmenting audio-visual scenes and does not mention any relevance to prompting or prompt engineering.,,
Spider2-V: How Far Are Multimodal Agents From Automating Data Science and Engineering Workflows?,"['Ruisheng Cao', 'Fangyu Lei', 'Haoyuan Wu', 'Jixuan Chen', 'Yeqiao Fu', 'Hongcheng Gao', 'Xinzhuang Xiong', 'Hanchong Zhang', 'Yuchen Mao', 'Wenjing Hu', 'Tianbao Xie', 'Hongshen Xu', 'Danyang Zhang', 'Sida Wang', 'Ruoxi Sun', 'Pengcheng Yin', 'Caiming Xiong', 'Ansong Ni', 'Qian Liu', 'Victor Zhong', 'Lu Chen', 'Kai Yu', 'Tao Yu']","Data science and engineering workflows often span multiple stages, from
warehousing to orchestration, using tools like BigQuery, dbt, and Airbyte. As
vision language models (VLMs) advance in multimodal understanding and code
generation, VLM-based agents could potentially automate these workflows by
generating SQL queries, Python code, and GUI operations. This automation can
improve the productivity of experts while democratizing access to large-scale
data analysis. In this paper, we introduce Spider2-V, the first multimodal
agent benchmark focusing on professional data science and engineering
workflows, featuring 494 real-world tasks in authentic computer environments
and incorporating 20 enterprise-level professional applications. These tasks,
derived from real-world use cases, evaluate the ability of a multimodal agent
to perform data-related tasks by writing code and managing the GUI in
enterprise data software systems. To balance realistic simulation with
evaluation simplicity, we devote significant effort to developing automatic
configurations for task setup and carefully crafting evaluation metrics for
each task. Furthermore, we supplement multimodal agents with comprehensive
documents of these enterprise data software systems. Our empirical evaluation
reveals that existing state-of-the-art LLM/VLM-based agents do not reliably
automate full data workflows (14.0% success). Even with step-by-step guidance,
these agents still underperform in tasks that require fine-grained,
knowledge-intensive GUI actions (16.2%) and involve remote cloud-hosted
workspaces (10.6%). We hope that Spider2-V paves the way for autonomous
multimodal agents to transform the automation of data science and engineering
workflow. Our code and data are available at https://spider2-v.github.io.",http://arxiv.org/pdf/2407.10956v1,2024-07-15,2407.10956v1,Spider2-V: How Far Are Multimodal Agents From Automating Data Science and Engineering Workflows?,gpt-4,highly irrelevant,"The paper emphasizes multimodal agent benchmarks and autonomous data workflows, but it doesn't discuss hard prefix prompts or prompt engineering in any context.",,
