title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning
Exploring Scaling Trends in LLM Robustness,"['Nikolhaus Howe', 'Michał Zajac', 'Ian McKenzie', 'Oskar Hollinsworth', 'Tom Tseng', 'Pierre-Luc Bacon', 'Adam Gleave']","Language model capabilities predictably improve from scaling a model's size
and training data. Motivated by this, increasingly large language models have
been trained, yielding an array of impressive capabilities. Yet these models
are vulnerable to adversarial prompts, such as ""jailbreaks"" that hijack models
to perform undesired behaviors, posing a significant risk of misuse. Prior work
indicates that computer vision models become more robust with model and data
scaling, raising the question: does language model robustness also improve with
scale? We study this question empirically, finding that larger models respond
substantially better to adversarial training, but there is little to no benefit
from model scale in the absence of explicit defenses.",http://arxiv.org/pdf/2407.18213v1,2024-07-25,2407.18213v1,Exploring Scaling Trends in LLM Robustness,gpt-4,somewhat relevant,"The paper discusses the role of adversarial prompts in the context of large language models, but does not primarily focus on the specific techniques or the engineering of hard prefix prompts."
AttentionHand: Text-driven Controllable Hand Image Generation for 3D Hand Reconstruction in the Wild,"['Junho Park', 'Kyeongbo Kong', 'Suk-Ju Kang']","Recently, there has been a significant amount of research conducted on 3D
hand reconstruction to use various forms of human-computer interaction.
However, 3D hand reconstruction in the wild is challenging due to extreme lack
of in-the-wild 3D hand datasets. Especially, when hands are in complex pose
such as interacting hands, the problems like appearance similarity, self-handed
occclusion and depth ambiguity make it more difficult. To overcome these
issues, we propose AttentionHand, a novel method for text-driven controllable
hand image generation. Since AttentionHand can generate various and numerous
in-the-wild hand images well-aligned with 3D hand label, we can acquire a new
3D hand dataset, and can relieve the domain gap between indoor and outdoor
scenes. Our method needs easy-to-use four modalities (i.e, an RGB image, a hand
mesh image from 3D label, a bounding box, and a text prompt). These modalities
are embedded into the latent space by the encoding phase. Then, through the
text attention stage, hand-related tokens from the given text prompt are
attended to highlight hand-related regions of the latent embedding. After the
highlighted embedding is fed to the visual attention stage, hand-related
regions in the embedding are attended by conditioning global and local hand
mesh images with the diffusion-based pipeline. In the decoding phase, the final
feature is decoded to new hand images, which are well-aligned with the given
hand mesh image and text prompt. As a result, AttentionHand achieved
state-of-the-art among text-to-hand image generation models, and the
performance of 3D hand mesh reconstruction was improved by additionally
training with hand images generated by AttentionHand.",http://arxiv.org/pdf/2407.18034v1,2024-07-25,2407.18034v1,AttentionHand: Text-driven Controllable Hand Image Generation for 3D Hand Reconstruction in the Wild,gpt-4,somewhat relevant,"The paper explores the creation of a model for text-driven hand image generation in order to facilitate 3D hand reconstruction in complex scenarios. Though it mentions the use of text prompts in its method, it appears that this technique is not focused on or specifically related to hard prefix prompting or prompt engineering."
GermanPartiesQA: Benchmarking Commercial Large Language Models for Political Bias and Sycophancy,"['Jan Batzner', 'Volker Stocker', 'Stefan Schmid', 'Gjergji Kasneci']","LLMs are changing the way humans create and interact with content,
potentially affecting citizens' political opinions and voting decisions. As
LLMs increasingly shape our digital information ecosystems, auditing to
evaluate biases, sycophancy, or steerability has emerged as an active field of
research. In this paper, we evaluate and compare the alignment of six LLMs by
OpenAI, Anthropic, and Cohere with German party positions and evaluate
sycophancy based on a prompt experiment. We contribute to evaluating political
bias and sycophancy in multi-party systems across major commercial LLMs. First,
we develop the benchmark dataset GermanPartiesQA based on the Voting Advice
Application Wahl-o-Mat covering 10 state and 1 national elections between 2021
and 2023. In our study, we find a left-green tendency across all examined LLMs.
We then conduct our prompt experiment for which we use the benchmark and
sociodemographic data of leading German parliamentarians to evaluate changes in
LLMs responses. To differentiate between sycophancy and steerabilty, we use 'I
am [politician X], ...' and 'You are [politician X], ...' prompts. Against our
expectations, we do not observe notable differences between prompting 'I am'
and 'You are'. While our findings underscore that LLM responses can be
ideologically steered with political personas, they suggest that observed
changes in LLM outputs could be better described as personalization to the
given context rather than sycophancy.",http://arxiv.org/pdf/2407.18008v1,2024-07-25,2407.18008v1,GermanPartiesQA: Benchmarking Commercial Large Language Models for Political Bias and Sycophancy,gpt-4,somewhat relevant,"The paper touches upon the use of prompts for experimenting with the responses of large language models, particularly in the context of political bias and steerability. However, it doesn't focus on or discuss the specific methods of prompt engineering."
The Power of Combining Data and Knowledge: GPT-4o is an Effective Interpreter of Machine Learning Models in Predicting Lymph Node Metastasis of Lung Cancer,"['Danqing Hu', 'Bing Liu', 'Xiaofeng Zhu', 'Nan Wu']","Lymph node metastasis (LNM) is a crucial factor in determining the initial
treatment for patients with lung cancer, yet accurate preoperative diagnosis of
LNM remains challenging. Recently, large language models (LLMs) have garnered
significant attention due to their remarkable text generation capabilities.
Leveraging the extensive medical knowledge learned from vast corpora, LLMs can
estimate probabilities for clinical problems, though their performance has
historically been inferior to data-driven machine learning models. In this
paper, we propose a novel ensemble method that combines the medical knowledge
acquired by LLMs with the latent patterns identified by machine learning models
to enhance LNM prediction performance. Initially, we developed machine learning
models using patient data. We then designed a prompt template to integrate the
patient data with the predicted probability from the machine learning model.
Subsequently, we instructed GPT-4o, the most advanced LLM developed by OpenAI,
to estimate the likelihood of LNM based on patient data and then adjust the
estimate using the machine learning output. Finally, we collected three outputs
from the GPT-4o using the same prompt and ensembled these results as the final
prediction. Using the proposed method, our models achieved an AUC value of
0.765 and an AP value of 0.415 for LNM prediction, significantly improving
predictive performance compared to baseline machine learning models. The
experimental results indicate that GPT-4o can effectively leverage its medical
knowledge and the probabilities predicted by machine learning models to achieve
more accurate LNM predictions. These findings demonstrate that LLMs can perform
well in clinical risk prediction tasks, offering a new paradigm for integrating
medical knowledge and patient data in clinical predictions.",http://arxiv.org/pdf/2407.17900v1,2024-07-25,2407.17900v1,The Power of Combining Data and Knowledge: GPT-4o is an Effective Interpreter of Machine Learning Models in Predicting Lymph Node Metastasis of Lung Cancer,gpt-4,somewhat relevant,"While the paper involves the use of a prompt in a language model, GPT-4o, it primarily discusses using this model as part of an ensemble method to improve cancer prognosis, rather than focusing on the technique of prompt engineering itself."
The Dark Side of Function Calling: Pathways to Jailbreaking Large Language Models,"['Zihui Wu', 'Haichang Gao', 'Jianping He', 'Ping Wang']","Large language models (LLMs) have demonstrated remarkable capabilities, but
their power comes with significant security considerations. While extensive
research has been conducted on the safety of LLMs in chat mode, the security
implications of their function calling feature have been largely overlooked.
This paper uncovers a critical vulnerability in the function calling process of
LLMs, introducing a novel ""jailbreak function"" attack method that exploits
alignment discrepancies, user coercion, and the absence of rigorous safety
filters. Our empirical study, conducted on six state-of-the-art LLMs including
GPT-4o, Claude-3.5-Sonnet, and Gemini-1.5-pro, reveals an alarming average
success rate of over 90\% for this attack. We provide a comprehensive analysis
of why function calls are susceptible to such attacks and propose defensive
strategies, including the use of defensive prompts. Our findings highlight the
urgent need for enhanced security measures in the function calling capabilities
of LLMs, contributing to the field of AI safety by identifying a previously
unexplored risk, designing an effective attack method, and suggesting practical
defensive measures. Our code is available at
https://github.com/wooozihui/jailbreakfunction.",http://arxiv.org/pdf/2407.17915v1,2024-07-25,2407.17915v1,The Dark Side of Function Calling: Pathways to Jailbreaking Large Language Models,gpt-4,neutrally relevant,"The paper speaks about function calling in large language models and its security considerations. Although it mentions the use of defensive prompts, it does not specify whether these are hard prefix prompts or even relates to the process of prompt engineering."
Recursive Introspection: Teaching Language Model Agents How to Self-Improve,"['Yuxiao Qu', 'Tianjun Zhang', 'Naman Garg', 'Aviral Kumar']","A central piece in enabling intelligent agentic behavior in foundation models
is to make them capable of introspecting upon their behavior, reasoning, and
correcting their mistakes as more computation or interaction is available. Even
the strongest proprietary large language models (LLMs) do not quite exhibit the
ability of continually improving their responses sequentially, even in
scenarios where they are explicitly told that they are making a mistake. In
this paper, we develop RISE: Recursive IntroSpEction, an approach for
fine-tuning LLMs to introduce this capability, despite prior work hypothesizing
that this capability may not be possible to attain. Our approach prescribes an
iterative fine-tuning procedure, which attempts to teach the model how to alter
its response after having executed previously unsuccessful attempts to solve a
hard test-time problem, with optionally additional environment feedback. RISE
poses fine-tuning for a single-turn prompt as solving a multi-turn Markov
decision process (MDP), where the initial state is the prompt. Inspired by
principles in online imitation learning and reinforcement learning, we propose
strategies for multi-turn data collection and training so as to imbue an LLM
with the capability to recursively detect and correct its previous mistakes in
subsequent iterations. Our experiments show that RISE enables Llama2, Llama3,
and Mistral models to improve themselves with more turns on math reasoning
tasks, outperforming several single-turn strategies given an equal amount of
inference-time computation. We also find that RISE scales well, often attaining
larger benefits with more capable models. Our analysis shows that RISE makes
meaningful improvements to responses to arrive at the correct solution for
challenging prompts, without disrupting one-turn abilities as a result of
expressing more complex distributions.",http://arxiv.org/pdf/2407.18219v1,2024-07-25,2407.18219v1,Recursive Introspection: Teaching Language Model Agents How to Self-Improve,gpt-4,somewhat irrelevant,"While the paper does use prompts and fine-tuning in an iterative process to improve model responses, it focuses more on model training and addressing model errors but not explicitly on hard prefix prompts or prompt engineering techniques."
Self-Training with Direct Preference Optimization Improves Chain-of-Thought Reasoning,"['Tianduo Wang', 'Shichen Li', 'Wei Lu']","Effective training of language models (LMs) for mathematical reasoning tasks
demands high-quality supervised fine-tuning data. Besides obtaining annotations
from human experts, a common alternative is sampling from larger and more
powerful LMs. However, this knowledge distillation approach can be costly and
unstable, particularly when relying on closed-source, proprietary LMs like
GPT-4, whose behaviors are often unpredictable. In this work, we demonstrate
that the reasoning abilities of small-scale LMs can be enhanced through
self-training, a process where models learn from their own outputs. We also
show that the conventional self-training can be further augmented by a
preference learning algorithm called Direct Preference Optimization (DPO). By
integrating DPO into self-training, we leverage preference data to guide LMs
towards more accurate and diverse chain-of-thought reasoning. We evaluate our
method across various mathematical reasoning tasks using different base models.
Our experiments show that this approach not only improves LMs' reasoning
performance but also offers a more cost-effective and scalable solution
compared to relying on large proprietary LMs.",http://arxiv.org/pdf/2407.18248v1,2024-07-25,2407.18248v1,Self-Training with Direct Preference Optimization Improves Chain-of-Thought Reasoning,gpt-4,highly irrelevant,"The paper focuses on the self-training and process of language models, with no specific mention of prompts or prompt engineering techniques."
LoRA-Pro: Are Low-Rank Adapters Properly Optimized?,"['Zhengbo Wang', 'Jian Liang']","Low-Rank Adaptation, also known as LoRA, has emerged as a prominent method
for parameter-efficient fine-tuning foundation models by re-parameterizing the
original matrix into the product of two low-rank matrices. Despite its
efficiency, LoRA often yields inferior performance compared to full
fine-tuning. In this paper, we propose LoRA-Pro to bridge this performance gap.
Firstly, we delve into the optimization processes in LoRA and full fine-tuning.
We reveal that while LoRA employs low-rank approximation, it neglects to
approximate the optimization process of full fine-tuning. To address this, we
introduce a novel concept called the ""equivalent gradient."" This virtual
gradient makes the optimization process on the re-parameterized matrix
equivalent to LoRA, which can be used to quantify the differences between LoRA
and full fine-tuning. The equivalent gradient is derived from the gradients of
matrices $A$ and $B$. To narrow the performance gap, our approach minimizes the
differences between the equivalent gradient and the gradient obtained from full
fine-tuning during the optimization process. By solving this objective, we
derive optimal closed-form solutions for updating matrices $A$ and $B$. Our
method constrains the optimization process, shrinking the performance gap
between LoRA and full fine-tuning. Extensive experiments on natural language
processing tasks validate the effectiveness of our method.",http://arxiv.org/pdf/2407.18242v1,2024-07-25,2407.18242v1,LoRA-Pro: Are Low-Rank Adapters Properly Optimized?,gpt-4,highly irrelevant,"This paper focuses on fine-tuning models using Low-Rank Adaptation, which is a different topic to hard prefix prompt engineering."
Differentiable Quantum Architecture Search in Asynchronous Quantum Reinforcement Learning,['Samuel Yen-Chi Chen'],"The emergence of quantum reinforcement learning (QRL) is propelled by
advancements in quantum computing (QC) and machine learning (ML), particularly
through quantum neural networks (QNN) built on variational quantum circuits
(VQC). These advancements have proven successful in addressing sequential
decision-making tasks. However, constructing effective QRL models demands
significant expertise due to challenges in designing quantum circuit
architectures, including data encoding and parameterized circuits, which
profoundly influence model performance. In this paper, we propose addressing
this challenge with differentiable quantum architecture search (DiffQAS),
enabling trainable circuit parameters and structure weights using
gradient-based optimization. Furthermore, we enhance training efficiency
through asynchronous reinforcement learning (RL) methods facilitating parallel
training. Through numerical simulations, we demonstrate that our proposed
DiffQAS-QRL approach achieves performance comparable to manually-crafted
circuit architectures across considered environments, showcasing stability
across diverse scenarios. This methodology offers a pathway for designing QRL
models without extensive quantum knowledge, ensuring robust performance and
fostering broader application of QRL.",http://arxiv.org/pdf/2407.18202v1,2024-07-25,2407.18202v1,Differentiable Quantum Architecture Search in Asynchronous Quantum Reinforcement Learning,gpt-4,highly irrelevant,"The paper focuses on quantum reinforcement learning and quantum architectures, without any discussion or mention of hard prefix prompting or prompt engineering."
Gene Regulatory Network Inference from Pre-trained Single-Cell Transcriptomics Transformer with Joint Graph Learning,"['Sindhura Kommu', 'Yizhi Wang', 'Yue Wang', 'Xuan Wang']","Inferring gene regulatory networks (GRNs) from single-cell RNA sequencing
(scRNA-seq) data is a complex challenge that requires capturing the intricate
relationships between genes and their regulatory interactions. In this study,
we tackle this challenge by leveraging the single-cell BERT-based pre-trained
transformer model (scBERT), trained on extensive unlabeled scRNA-seq data, to
augment structured biological knowledge from existing GRNs. We introduce a
novel joint graph learning approach that combines the rich contextual
representations learned by pre-trained single-cell language models with the
structured knowledge encoded in GRNs using graph neural networks (GNNs). By
integrating these two modalities, our approach effectively reasons over boththe
gene expression level constraints provided by the scRNA-seq data and the
structured biological knowledge inherent in GRNs. We evaluate our method on
human cell benchmark datasets from the BEELINE study with cell type-specific
ground truth networks. The results demonstrate superior performance over
current state-of-the-art baselines, offering a deeper understanding of cellular
regulatory mechanisms.",http://arxiv.org/pdf/2407.18181v1,2024-07-25,2407.18181v1,Gene Regulatory Network Inference from Pre-trained Single-Cell Transcriptomics Transformer with Joint Graph Learning,gpt-4,highly irrelevant,"This paper revolves around the training and application of pre-trained transformers for gene regulatory network inference, but there are no elements of hard prefix prompt engineering discussed."
"PianoMime: Learning a Generalist, Dexterous Piano Player from Internet Demonstrations","['Cheng Qian', 'Julen Urain', 'Kevin Zakka', 'Jan Peters']","In this work, we introduce PianoMime, a framework for training a
piano-playing agent using internet demonstrations. The internet is a promising
source of large-scale demonstrations for training our robot agents. In
particular, for the case of piano-playing, Youtube is full of videos of
professional pianists playing a wide myriad of songs. In our work, we leverage
these demonstrations to learn a generalist piano-playing agent capable of
playing any arbitrary song. Our framework is divided into three parts: a data
preparation phase to extract the informative features from the Youtube videos,
a policy learning phase to train song-specific expert policies from the
demonstrations and a policy distillation phase to distil the policies into a
single generalist agent. We explore different policy designs to represent the
agent and evaluate the influence of the amount of training data on the
generalization capability of the agent to novel songs not available in the
dataset. We show that we are able to learn a policy with up to 56\% F1 score on
unseen songs.",http://arxiv.org/pdf/2407.18178v1,2024-07-25,2407.18178v1,"PianoMime: Learning a Generalist, Dexterous Piano Player from Internet Demonstrations",gpt-4,highly irrelevant,The paper focuses on training a robot agent to play piano using internet demonstrations and does not discuss or mention anything related to hard prefix prompting or prompt engineering.
Quasar-ViT: Hardware-Oriented Quantization-Aware Architecture Search for Vision Transformers,"['Zhengang Li', 'Alec Lu', 'Yanyue Xie', 'Zhenglun Kong', 'Mengshu Sun', 'Hao Tang', 'Zhong Jia Xue', 'Peiyan Dong', 'Caiwen Ding', 'Yanzhi Wang', 'Xue Lin', 'Zhenman Fang']","Vision transformers (ViTs) have demonstrated their superior accuracy for
computer vision tasks compared to convolutional neural networks (CNNs).
However, ViT models are often computation-intensive for efficient deployment on
resource-limited edge devices. This work proposes Quasar-ViT, a
hardware-oriented quantization-aware architecture search framework for ViTs, to
design efficient ViT models for hardware implementation while preserving the
accuracy. First, Quasar-ViT trains a supernet using our row-wise flexible
mixed-precision quantization scheme, mixed-precision weight entanglement, and
supernet layer scaling techniques. Then, it applies an efficient
hardware-oriented search algorithm, integrated with hardware latency and
resource modeling, to determine a series of optimal subnets from supernet under
different inference latency targets. Finally, we propose a series of
model-adaptive designs on the FPGA platform to support the architecture search
and mitigate the gap between the theoretical computation reduction and the
practical inference speedup. Our searched models achieve 101.5, 159.6, and
251.6 frames-per-second (FPS) inference speed on the AMD/Xilinx ZCU102 FPGA
with 80.4%, 78.6%, and 74.9% top-1 accuracy, respectively, for the ImageNet
dataset, consistently outperforming prior works.",http://arxiv.org/pdf/2407.18175v1,2024-07-25,2407.18175v1,Quasar-ViT: Hardware-Oriented Quantization-Aware Architecture Search for Vision Transformers,gpt-4,highly irrelevant,"The paper is focused on architecture search and optimization of Vision Transformers for computer vision tasks, not on prompt engineering or hard prefix prompting."
The FIGNEWS Shared Task on News Media Narratives,"['Wajdi Zaghouani', 'Mustafa Jarrar', 'Nizar Habash', 'Houda Bouamor', 'Imed Zitouni', 'Mona Diab', 'Samhaa R. El-Beltagy', 'Muhammed AbuOdeh']","We present an overview of the FIGNEWS shared task, organized as part of the
ArabicNLP 2024 conference co-located with ACL 2024. The shared task addresses
bias and propaganda annotation in multilingual news posts. We focus on the
early days of the Israel War on Gaza as a case study. The task aims to foster
collaboration in developing annotation guidelines for subjective tasks by
creating frameworks for analyzing diverse narratives highlighting potential
bias and propaganda. In a spirit of fostering and encouraging diversity, we
address the problem from a multilingual perspective, namely within five
languages: English, French, Arabic, Hebrew, and Hindi. A total of 17 teams
participated in two annotation subtasks: bias (16 teams) and propaganda (6
teams). The teams competed in four evaluation tracks: guidelines development,
annotation quality, annotation quantity, and consistency. Collectively, the
teams produced 129,800 data points. Key findings and implications for the field
are discussed.",http://arxiv.org/pdf/2407.18147v1,2024-07-25,2407.18147v1,The FIGNEWS Shared Task on News Media Narratives,gpt-4,highly irrelevant,"This paper focuses on bias and propaganda annotation in multilingual news posts, not hard prefix prompting or prompt engineering."
Taxonomy-Aware Continual Semantic Segmentation in Hyperbolic Spaces for Open-World Perception,"['Julia Hindel', 'Daniele Cattaneo', 'Abhinav Valada']","Semantic segmentation models are typically trained on a fixed set of classes,
limiting their applicability in open-world scenarios. Class-incremental
semantic segmentation aims to update models with emerging new classes while
preventing catastrophic forgetting of previously learned ones. However,
existing methods impose strict rigidity on old classes, reducing their
effectiveness in learning new incremental classes. In this work, we propose
Taxonomy-Oriented Poincar\'e-regularized Incremental-Class Segmentation
(TOPICS) that learns feature embeddings in hyperbolic space following explicit
taxonomy-tree structures. This supervision provides plasticity for old classes,
updating ancestors based on new classes while integrating new classes at
fitting positions. Additionally, we maintain implicit class relational
constraints on the geometric basis of the Poincar\'e ball. This ensures that
the latent space can continuously adapt to new constraints while maintaining a
robust structure to combat catastrophic forgetting. We also establish eight
realistic incremental learning protocols for autonomous driving scenarios,
where novel classes can originate from known classes or the background.
Extensive evaluations of TOPICS on the Cityscapes and Mapillary Vistas 2.0
benchmarks demonstrate that it achieves state-of-the-art performance. We make
the code and trained models publicly available at
http://topics.cs.uni-freiburg.de.",http://arxiv.org/pdf/2407.18145v1,2024-07-25,2407.18145v1,Taxonomy-Aware Continual Semantic Segmentation in Hyperbolic Spaces for Open-World Perception,gpt-4,highly irrelevant,"The paper focuses on semantic segmentation, incremental learning, and feature embeddings, none of which directly relate to the topic of hard prefix prompt engineering."
Maximum Entropy On-Policy Actor-Critic via Entropy Advantage Estimation,"['Jean Seong Bjorn Choe', 'Jong-Kook Kim']","Entropy Regularisation is a widely adopted technique that enhances policy
optimisation performance and stability. A notable form of entropy
regularisation is augmenting the objective with an entropy term, thereby
simultaneously optimising the expected return and the entropy. This framework,
known as maximum entropy reinforcement learning (MaxEnt RL), has shown
theoretical and empirical successes. However, its practical application in
straightforward on-policy actor-critic settings remains surprisingly
underexplored. We hypothesise that this is due to the difficulty of managing
the entropy reward in practice. This paper proposes a simple method of
separating the entropy objective from the MaxEnt RL objective, which
facilitates the implementation of MaxEnt RL in on-policy settings. Our
empirical evaluations demonstrate that extending Proximal Policy Optimisation
(PPO) and Trust Region Policy Optimisation (TRPO) within the MaxEnt framework
improves policy optimisation performance in both MuJoCo and Procgen tasks.
Additionally, our results highlight MaxEnt RL's capacity to enhance
generalisation.",http://arxiv.org/pdf/2407.18143v1,2024-07-25,2407.18143v1,Maximum Entropy On-Policy Actor-Critic via Entropy Advantage Estimation,gpt-4,highly irrelevant,"The paper discusses various techniques in maximum entropy reinforcement learning and policy optimisation, which does not relate to the concept of hard prefix prompts or prompt engineering."
