title,authors,abstract,pdf_url,published,arxiv_id,Title,Model,Rating,Reasoning,image_url,image_description
Conditioning LLMs with Emotion in Neural Machine Translation,"['Charles Brazier', 'Jean-Luc Rouas']","Large Language Models (LLMs) have shown remarkable performance in Natural
Language Processing tasks, including Machine Translation (MT). In this work, we
propose a novel MT pipeline that integrates emotion information extracted from
a Speech Emotion Recognition (SER) model into LLMs to enhance translation
quality. We first fine-tune five existing LLMs on the Libri-trans dataset and
select the most performant model. Subsequently, we augment LLM prompts with
different dimensional emotions and train the selected LLM under these different
configurations. Our experiments reveal that integrating emotion information,
especially arousal, into LLM prompts leads to notable improvements in
translation quality.",http://arxiv.org/pdf/2408.03150v1,2024-08-06,2408.03150v1,Conditioning LLMs with Emotion in Neural Machine Translation,gpt-4,highly relevant,The paper is related to prompt engineering as it talks about augmenting LLM prompts with different dimensional emotions and training the model under these different configurations.,,
500xCompressor: Generalized Prompt Compression for Large Language Models,"['Zongqian Li', 'Yixuan Su', 'Nigel Collier']","Prompt compression is crucial for enhancing inference speed, reducing costs,
and improving user experience. However, current methods face challenges such as
low compression ratios and potential data leakage during evaluation. To address
these issues, we propose 500xCompressor, a method that compresses extensive
natural language contexts into a minimum of one single special token. The
500xCompressor introduces approximately 0.3% additional parameters and achieves
compression ratios ranging from 6x to 480x. It is designed to compress any
text, answer various types of questions, and could be utilized by the original
large language model (LLM) without requiring fine-tuning. Initially,
500xCompressor was pretrained on the Arxiv Corpus, followed by fine-tuning on
the ArxivQA dataset, and subsequently evaluated on strictly unseen and
classical question answering (QA) datasets. The results demonstrate that the
LLM retained 62.26-72.89% of its capabilities compared to using non-compressed
prompts. This study also shows that not all the compressed tokens are equally
utilized and that K V values have significant advantages over embeddings in
preserving information at high compression ratios. The highly compressive
nature of natural language prompts, even for fine-grained complex information,
suggests promising potential for future applications and further research into
developing a new LLM language.",http://arxiv.org/pdf/2408.03094v1,2024-08-06,2408.03094v1,500xCompressor: Generalized Prompt Compression for Large Language Models,gpt-4,highly relevant,"The paper discusses prompt compression, a technique for refining prompting in large language models which is highly related to the concept of prefix prompt engineering. The paper explores ways to compress extensive natural language contexts into a single token, a concept closely related to hard prefix prompting.",https://ashay-sriv-images.s3.amazonaws.com/500xCompressor_ Generalized Prompt Compression for Large Language Models.png,"Figure 2: Process of pretraining (left), fine-tuning (middle), and prediction (right) with 500xCompressor.
texts or be used for QA. Although trained on the Arxiv Cor-
In this paper, the architecture and mechanism of
"
LLMs as Probabilistic Minimally Adequate Teachers for DFA Learning,"['Lekai Chen', 'Ashutosh Trivedi', 'Alvaro Velasquez']","The emergence of intelligence in large language models (LLMs) has inspired
investigations into their integration into automata learning. This paper
introduces the probabilistic Minimally Adequate Teacher (pMAT) formulation,
which leverages a probabilistic oracle that could give persistent errors
randomly during answering the membership queries for deterministic finite
automata (DFA) learning. Given the tendency of LLMs to produce hallucinatory
content, we have developed techniques to improve answer accuracy and ensure the
correctness of the learned automata. We propose the $\mathtt{Discrimination}$
prompt as well as the $\mathtt{Verification}$ prompt and explore their
advantages over common prompts. Additionally, we compare DFA learning
performance between the TTT algorithm and common active learning algorithms. To
address the exponential number of persistent errors, we implement a dynamic
query cache refinement algorithm that identifies and corrects conflicting
queries by combining the active and passive learning algorithms. The empirical
results demonstrate the robustness and efficiency of our approach, providing a
theoretical foundation for automata learning with LLMs in the loop.",http://arxiv.org/pdf/2408.02999v1,2024-08-06,2408.02999v1,LLMs as Probabilistic Minimally Adequate Teachers for DFA Learning,gpt-4,highly relevant,"The paper discusses the use of two different types of prompts, the Discrimination prompt, and the Verification prompt, in terms of improving accuracy in language models and ensuring correct automata learning, which is directly associated with prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/LLMs as Probabilistic Minimally Adequate Teachers for DFA Learning.png,"A
Appendix / supplemental material
A.1
Verification Prompt Example
Figure 5: Verfication prompt
"
Accuracy and Consistency of LLMs in the Registered Dietitian Exam: The Impact of Prompt Engineering and Knowledge Retrieval,"['Iman Azimi', 'Mohan Qi', 'Li Wang', 'Amir M. Rahmani', 'Youlin Li']","Large language models (LLMs) are fundamentally transforming human-facing
applications in the health and well-being domains: boosting patient engagement,
accelerating clinical decision-making, and facilitating medical education.
Although state-of-the-art LLMs have shown superior performance in several
conversational applications, evaluations within nutrition and diet applications
are still insufficient. In this paper, we propose to employ the Registered
Dietitian (RD) exam to conduct a standard and comprehensive evaluation of
state-of-the-art LLMs, GPT-4o, Claude 3.5 Sonnet, and Gemini 1.5 Pro, assessing
both accuracy and consistency in nutrition queries. Our evaluation includes
1050 RD exam questions encompassing several nutrition topics and proficiency
levels. In addition, for the first time, we examine the impact of Zero-Shot
(ZS), Chain of Thought (CoT), Chain of Thought with Self Consistency (CoT-SC),
and Retrieval Augmented Prompting (RAP) on both accuracy and consistency of the
responses. Our findings revealed that while these LLMs obtained acceptable
overall performance, their results varied considerably with different prompts
and question domains. GPT-4o with CoT-SC prompting outperformed the other
approaches, whereas Gemini 1.5 Pro with ZS recorded the highest consistency.
For GPT-4o and Claude 3.5, CoT improved the accuracy, and CoT-SC improved both
accuracy and consistency. RAP was particularly effective for GPT-4o to answer
Expert level questions. Consequently, choosing the appropriate LLM and
prompting technique, tailored to the proficiency level and specific domain, can
mitigate errors and potential risks in diet and nutrition chatbots.",http://arxiv.org/pdf/2408.02964v1,2024-08-06,2408.02964v1,Accuracy and Consistency of LLMs in the Registered Dietitian Exam: The Impact of Prompt Engineering and Knowledge Retrieval,gpt-4,highly relevant,"The paper explicitly discusses several prompting techniques including Zero-Shot, Chain of Thought, Chain of Thought with Self Consistency, and Retrieval Augmented Prompting, predominantly in the context of hard prefix prompts for Large Language Models.",https://ashay-sriv-images.s3.amazonaws.com/Accuracy and Consistency of LLMs in the Registered Dietitian Exam_ The Impact of Prompt Engineering .png,"1.5 Pro, CoT-SC
ni 1.5 Pro, RAP
2
5 0.85
0.84
0.86
0.88
0.90
0.92
0.94
0.96
"
Training LLMs to Recognize Hedges in Spontaneous Narratives,"['Amie J. Paige', 'Adil Soubki', 'John Murzaku', 'Owen Rambow', 'Susan E. Brennan']","Hedges allow speakers to mark utterances as provisional, whether to signal
non-prototypicality or ""fuzziness"", to indicate a lack of commitment to an
utterance, to attribute responsibility for a statement to someone else, to
invite input from a partner, or to soften critical feedback in the service of
face-management needs. Here we focus on hedges in an experimentally
parameterized corpus of 63 Roadrunner cartoon narratives spontaneously produced
from memory by 21 speakers for co-present addressees, transcribed to text
(Galati and Brennan, 2010). We created a gold standard of hedges annotated by
human coders (the Roadrunner-Hedge corpus) and compared three LLM-based
approaches for hedge detection: fine-tuning BERT, and zero and few-shot
prompting with GPT-4o and LLaMA-3. The best-performing approach was a
fine-tuned BERT model, followed by few-shot GPT-4o. After an error analysis on
the top performing approaches, we used an LLM-in-the-Loop approach to improve
the gold standard coding, as well as to highlight cases in which hedges are
ambiguous in linguistically interesting ways that will guide future research.
This is the first step in our research program to train LLMs to interpret and
generate collateral signals appropriately and meaningfully in conversation.",http://arxiv.org/pdf/2408.03319v1,2024-08-06,2408.03319v1,Training LLMs to Recognize Hedges in Spontaneous Narratives,gpt-4,somewhat relevant,"The paper discusses the use of zero and few-shot prompting with GPT-4o and LLaMA-3, but mostly emphasizes on training models.",,
Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,"['Charlie Snell', 'Jaehoon Lee', 'Kelvin Xu', 'Aviral Kumar']","Enabling LLMs to improve their outputs by using more test-time computation is
a critical step towards building generally self-improving agents that can
operate on open-ended natural language. In this paper, we study the scaling of
inference-time computation in LLMs, with a focus on answering the question: if
an LLM is allowed to use a fixed but non-trivial amount of inference-time
compute, how much can it improve its performance on a challenging prompt?
Answering this question has implications not only on the achievable performance
of LLMs, but also on the future of LLM pretraining and how one should tradeoff
inference-time and pre-training compute. Despite its importance, little
research attempted to understand the scaling behaviors of various test-time
inference methods. Moreover, current work largely provides negative results for
a number of these strategies. In this work, we analyze two primary mechanisms
to scale test-time computation: (1) searching against dense, process-based
verifier reward models; and (2) updating the model's distribution over a
response adaptively, given the prompt at test time. We find that in both cases,
the effectiveness of different approaches to scaling test-time compute
critically varies depending on the difficulty of the prompt. This observation
motivates applying a ""compute-optimal"" scaling strategy, which acts to most
effectively allocate test-time compute adaptively per prompt. Using this
compute-optimal strategy, we can improve the efficiency of test-time compute
scaling by more than 4x compared to a best-of-N baseline. Additionally, in a
FLOPs-matched evaluation, we find that on problems where a smaller base model
attains somewhat non-trivial success rates, test-time compute can be used to
outperform a 14x larger model.",http://arxiv.org/pdf/2408.03314v1,2024-08-06,2408.03314v1,Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters,gpt-4,somewhat relevant,"The paper focuses on the scalability of inference-time computation in large language models and how it can improve its performance based on prompts, which is a central discussion in prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/Scaling LLM Test-Time Compute Optimally can be More Effective than Scaling Model Parameters.png,"gure 23 ∣Revision model example 7. On the first attempt the model evaluates 1
3 + 2 incorrectly. On th
cond attempt it corrects this error.
"
Unveiling Factual Recall Behaviors of Large Language Models through Knowledge Neurons,"['Yifei Wang', 'Yuheng Chen', 'Wanting Wen', 'Yu Sheng', 'Linjing Li', 'Daniel Dajun Zeng']","In this paper, we investigate whether Large Language Models (LLMs) actively
recall or retrieve their internal repositories of factual knowledge when faced
with reasoning tasks. Through an analysis of LLMs' internal factual recall at
each reasoning step via Knowledge Neurons, we reveal that LLMs fail to harness
the critical factual associations under certain circumstances. Instead, they
tend to opt for alternative, shortcut-like pathways to answer reasoning
questions. By manually manipulating the recall process of parametric knowledge
in LLMs, we demonstrate that enhancing this recall process directly improves
reasoning performance whereas suppressing it leads to notable degradation.
Furthermore, we assess the effect of Chain-of-Thought (CoT) prompting, a
powerful technique for addressing complex reasoning tasks. Our findings
indicate that CoT can intensify the recall of factual knowledge by encouraging
LLMs to engage in orderly and reliable reasoning. Furthermore, we explored how
contextual conflicts affect the retrieval of facts during the reasoning process
to gain a comprehensive understanding of the factual recall behaviors of LLMs.
Code and data will be available soon.",http://arxiv.org/pdf/2408.03247v1,2024-08-06,2408.03247v1,Unveiling Factual Recall Behaviors of Large Language Models through Knowledge Neurons,gpt-4,somewhat relevant,"The paper discusses the use of 'Chain-of-Thought' prompting technique, which falls under hard prefix prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/Unveiling Factual Recall Behaviors of Large Language Models through Knowledge Neurons.png,"3.
(12)
))
(13)
nguistic
uthentic
shared
Figure 11: Distribution of intermediate layers in all FFNs for Mistral-7B.
"
Making Long-Context Language Models Better Multi-Hop Reasoners,"['Yanyang Li', 'Shuo Liang', 'Michael R. Lyu', 'Liwei Wang']","Recent advancements in long-context modeling have enhanced language models
(LMs) for complex tasks across multiple NLP applications. Despite this
progress, we find that these models struggle with multi-hop reasoning and
exhibit decreased performance in the presence of noisy contexts. In this paper,
we introduce Reasoning with Attributions, a novel approach that prompts LMs to
supply attributions for each assertion during their reasoning. We validate our
approach through experiments on three multi-hop datasets, employing both
proprietary and open-source models, and demonstrate its efficacy and
resilience. Furthermore, we explore methods to augment reasoning capabilities
via fine-tuning and offer an attribution-annotated dataset and a specialized
training strategy. Our fine-tuned model achieves competitive performance on
multi-hop reasoning benchmarks, closely paralleling proprietary LMs such as
ChatGPT and Claude-instant.",http://arxiv.org/pdf/2408.03246v1,2024-08-06,2408.03246v1,Making Long-Context Language Models Better Multi-Hop Reasoners,gpt-4,somewhat relevant,"The paper introduces a new approach that uses prompts to enhance the reasoning capabilities of language models which is related to prompt engineering, but also focuses quite a bit on the fine-tuning aspect of training models.",https://ashay-sriv-images.s3.amazonaws.com/Making Long-Context Language Models Better Multi-Hop Reasoners.png,"Figure 5: Screenshot of our human annotation tool.
Citation Precision
Citation Recall
"
Lisbon Computational Linguists at SemEval-2024 Task 2: Using A Mistral 7B Model and Data Augmentation,"['Artur Guimarães', 'Bruno Martins', 'João Magalhães']","This paper describes our approach to the SemEval-2024 safe biomedical Natural
Language Inference for Clinical Trials (NLI4CT) task, which concerns
classifying statements about Clinical Trial Reports (CTRs). We explored the
capabilities of Mistral-7B, a generalist open-source Large Language Model
(LLM). We developed a prompt for the NLI4CT task, and fine-tuned a quantized
version of the model using an augmented version of the training dataset. The
experimental results show that this approach can produce notable results in
terms of the macro F1-score, while having limitations in terms of faithfulness
and consistency. All the developed code is publicly available on a GitHub
repository",http://arxiv.org/pdf/2408.03127v1,2024-08-06,2408.03127v1,Lisbon Computational Linguists at SemEval-2024 Task 2: Using A Mistral 7B Model and Data Augmentation,gpt-4,somewhat relevant,"The paper describes developing a prompt for a Natural Language Inference task and the subsequent fine-tuning of the model, which indicates a focus on prompt engineering.",,
EC-Guide: A Comprehensive E-Commerce Guide for Instruction Tuning and Quantization,"['Zhaopeng Feng', 'Zijie Meng', 'Zuozhu Liu']","Large language models (LLMs) have attracted considerable attention in various
fields for their cost-effective solutions to diverse challenges, especially
with advancements in instruction tuning and quantization. E-commerce, with its
complex tasks and extensive product-user interactions, presents a promising
application area for LLMs. However, the domain-specific concepts and knowledge
inherent in e-commerce pose significant challenges for adapting general LLMs.
To address this issue, we developed EC-Guide
\href{https://github.com/fzp0424/EC-Guide-KDDUP-2024}, a comprehensive
e-commerce guide for instruction tuning and quantization of LLMs. We also
heuristically integrated Chain-of-Thought (CoT) during inference to enhance
arithmetic performance. Our approach achieved the 2nd place in Track 2 and 5th
place in Track 5 at the Amazon KDD Cup'24
\href{https://www.aicrowd.com/challenges/amazon-kdd-cup-2024-multi-task-online-shopping-challenge-for-llms}.
Additionally, our solution is model-agnostic, enabling effective scalability
across larger systems.",http://arxiv.org/pdf/2408.02970v1,2024-08-06,2408.02970v1,EC-Guide: A Comprehensive E-Commerce Guide for Instruction Tuning and Quantization,gpt-4,somewhat irrelevant,"The abstract mentions instruction tuning and quantization of LLMs, but it does not specifically address hard prefix prompting or prompt engineering.",https://ashay-sriv-images.s3.amazonaws.com/EC-Guide_ A Comprehensive E-Commerce Guide for Instruction Tuning and Quantization.png,"(INT4)
uide (74k examples for 24 sub-tasks ac
ith QLoRA [2] and quantize it with GPT
"
